INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F__Y15T24,OBS_VALUE__M__Y15T24,OBS_VALUE___T__Y15T24,OBS_VALUE__F__Y_GE15,OBS_VALUE__M__Y_GE15,OBS_VALUE___T__Y_GE15,OBS_VALUE__F__Y_GE25,OBS_VALUE__M__Y_GE25,OBS_VALUE___T__Y_GE25,NATURE__F__Y15T24,NATURE__M__Y15T24,NATURE___T__Y15T24,NATURE__F__Y_GE15,NATURE__M__Y_GE15,NATURE___T__Y_GE15,NATURE__F__Y_GE25,NATURE__M__Y_GE25,NATURE___T__Y_GE25,COMMENT_OBS__F__Y15T24,COMMENT_OBS__M__Y15T24,COMMENT_OBS___T__Y15T24,COMMENT_OBS__F__Y_GE15,COMMENT_OBS__M__Y_GE15,COMMENT_OBS___T__Y_GE15,COMMENT_OBS__F__Y_GE25,COMMENT_OBS__M__Y_GE25,COMMENT_OBS___T__Y_GE25,isLatestValue__F__Y15T24,isLatestValue__M__Y15T24,isLatestValue___T__Y15T24,isLatestValue__F__Y_GE15,isLatestValue__M__Y_GE15,isLatestValue___T__Y_GE15,isLatestValue__F__Y_GE25,isLatestValue__M__Y_GE25,isLatestValue___T__Y_GE25
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2001,35.4,42.8,39.3,18.9,20.9,19.9,16.8,18.3,17.6,C,C,C,C,C,C,C,C,C,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2002,31.5,39.0,35.6,17.4,18.8,18.1,15.8,16.4,16.1,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2003,24.1,29.4,27.1,13.2,14.2,13.7,12.2,12.5,12.4,C,C,C,C,C,C,C,C,C,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2004,23.8,25.0,24.5,11.6,12.4,12.0,10.5,11.0,10.8,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2005,21.0,23.4,22.4,9.8,10.3,10.1,8.8,9.0,8.9,C,C,C,C,C,C,C,C,C,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2006,20.3,18.9,19.5,9.3,8.6,9.0,8.3,7.6,7.9,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2007,15.9,14.5,15.1,7.3,6.5,6.9,6.5,5.7,6.1,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2008,11.4,13.7,12.7,5.8,5.5,5.6,5.3,4.7,5.0,C,C,C,C,C,C,C,C,C,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2009,13.8,17.8,16.2,6.6,7.0,6.8,6.1,5.9,6.0,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2010,20.1,23.2,21.9,9.6,10.9,10.3,8.8,9.7,9.2,C,C,C,C,C,C,C,C,C,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,Break in series: Methodology revised; Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
