INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T,OBS_VALUE__F,OBS_VALUE__M,TIME_DETAIL___T,TIME_DETAIL__F,TIME_DETAIL__M,NATURE___T,NATURE__F,NATURE__M,COMMENT_OBS___T,COMMENT_OBS__F,COMMENT_OBS__M,isLatestValue___T,isLatestValue__F,isLatestValue__M
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",12,Algeria,FSM,158.25,6.91666666,Northern Africa and Western Asia,G,Global,2019,YR,Years,2003,19.628,20.318,18.926,2000-2005,2000-2005,2000-2005,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",12,Algeria,FSM,158.25,6.91666666,Northern Africa and Western Asia,G,Global,2019,YR,Years,2008,20.91,21.432,20.376,2005-2010,2005-2010,2005-2010,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",12,Algeria,FSM,158.25,6.91666666,Northern Africa and Western Asia,G,Global,2019,YR,Years,2013,21.544,22.064,21.026,2010-2015,2010-2015,2010-2015,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",12,Algeria,FSM,158.25,6.91666666,Northern Africa and Western Asia,G,Global,2019,YR,Years,2018,22.084,22.647,21.53,2015-2020,2015-2020,2015-2020,E,E,E,,,,True,True,True
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",120,Cameroon,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,1993,15.108,15.635,14.523,1990-1995,1990-1995,1990-1995,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",120,Cameroon,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,1998,14.779,15.478,14.015,1995-2000,1995-2000,1995-2000,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",120,Cameroon,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2003,14.634,15.383,13.811,2000-2005,2000-2005,2000-2005,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",120,Cameroon,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2008,14.754,15.42,14.007,2005-2010,2005-2010,2005-2010,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",120,Cameroon,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2013,14.925,15.581,14.191,2010-2015,2010-2015,2010-2015,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",120,Cameroon,FSM,158.25,6.91666666,Sub-Saharan Africa,G,Global,2019,YR,Years,2018,15.266,15.842,14.621,2015-2020,2015-2020,2015-2020,E,E,E,,,,True,True,True
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",124,Canada,FSM,158.25,6.91666666,Europe and Northern America,G,Global,2019,YR,Years,1993,21.741,23.879,19.379,1990-1995,1990-1995,1990-1995,E,E,E,,,,False,False,False
III.10,c5db0b34,"Life expectancy at age 60, by sex",c5db0b34,"Life expectancy at age 60, by sex",124,Canada,FSM,158.25,6.91666666,Europe and Northern America,G,Global,2019,YR,Years,1998,22.166,24.132,19.978,1995-2000,1995-2000,1995-2000,E,E,E,,,,False,False,False
