INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__Y_GE25___X,OBS_VALUE__F__Y_GE25___X,OBS_VALUE__M__Y_GE25___X,OBS_VALUE___T__Y15T24___X,OBS_VALUE__F__Y15T24___X,OBS_VALUE__M__Y15T24___X,OBS_VALUE___T__Y_GE15___X,OBS_VALUE__F__Y_GE15___X,OBS_VALUE__M__Y_GE15___X,NATURE___T__Y_GE25___X,NATURE__F__Y_GE25___X,NATURE__M__Y_GE25___X,NATURE___T__Y15T24___X,NATURE__F__Y15T24___X,NATURE__M__Y15T24___X,NATURE___T__Y_GE15___X,NATURE__F__Y_GE15___X,NATURE__M__Y_GE15___X,COMMENT_OBS___T__Y_GE25___X,COMMENT_OBS__F__Y_GE25___X,COMMENT_OBS__M__Y_GE25___X,COMMENT_OBS___T__Y15T24___X,COMMENT_OBS__F__Y15T24___X,COMMENT_OBS__M__Y15T24___X,COMMENT_OBS___T__Y_GE15___X,COMMENT_OBS__F__Y_GE15___X,COMMENT_OBS__M__Y_GE15___X,isLatestValue___T__Y_GE25___X,isLatestValue__F__Y_GE25___X,isLatestValue__M__Y_GE25___X,isLatestValue___T__Y15T24___X,isLatestValue__F__Y15T24___X,isLatestValue__M__Y15T24___X,isLatestValue___T__Y_GE15___X,isLatestValue__F__Y_GE15___X,isLatestValue__M__Y_GE15___X
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2020,,,,,,,6.5,,,,,,,,,M,,,,,,,,,,,,,,,,,,True,,
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2000,14.3,14.4,14.2,33.3,29.6,36.1,16.2,15.8,16.6,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2001,17.6,16.8,18.3,39.3,35.4,42.8,19.9,18.9,20.9,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2002,16.1,15.8,16.4,35.6,31.5,39.0,18.1,17.4,18.8,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2003,12.4,12.2,12.5,27.1,24.1,29.4,13.7,13.2,14.2,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2004,10.8,10.5,11.0,24.5,23.8,25.0,12.0,11.6,12.4,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2005,8.9,8.8,9.0,22.4,21.0,23.4,10.1,9.8,10.3,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2006,7.9,8.3,7.6,19.5,20.3,18.9,9.0,9.3,8.6,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2007,6.1,6.5,5.7,15.1,15.9,14.5,6.9,7.3,6.5,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2008,5.0,5.3,4.7,12.7,11.4,13.7,5.6,5.8,5.5,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
